timeStamp,hash,from,to,value,move_balance,staking,stake_balance
1653996871,0x414201ae223d8588b83a5642858c7136f899499f77896a824a59a4d6ff3cbb72,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0x030cdac279f3c03ee50982524daeb87510c1a1d2,18.02,-18.02,1,-18.02
1653997363,0x4148c6c6d8c96cc7f8f86a59b48b7b905da4ddfd048d9aeee9536bcb00ccab10,0x257ac5a077ced525f87d4f1ba6c0bf2f6f747413,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,83076.06,-83076.06,1,-83076.06
1653997363,0x4148c6c6d8c96cc7f8f86a59b48b7b905da4ddfd048d9aeee9536bcb00ccab10,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0x257ac5a077ced525f87d4f1ba6c0bf2f6f747413,109.07,-109.07,1,-109.07
1653997618,0x46df5f2956e401e9b898d3d3c07e08f03c9c491b8d375e5553d1bcbbd9f5699c,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0x0a4b4008f8271fa529aaa68e69084674d73c8168,64.21,-64.21,1,-64.21
1653997618,0x46df5f2956e401e9b898d3d3c07e08f03c9c491b8d375e5553d1bcbbd9f5699c,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0x0a4b4008f8271fa529aaa68e69084674d73c8168,33000.0,-33000.0,1,-33000.0
1653997666,0xa696fd64fecff0e4065955a4c8c963d41dcc0394f990fd237f2dfb889937b013,0x5c58b8909cbe47a65bcea28ec6512bbbf1ebfc18,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,100000.0,-100000.0,1,-100000.0
1653998179,0x91e6ff7b77475972761d2e26167b25546ae158e3e7b7857b4bb89261b654fce9,0x78331db23d194334e28f5d2ceb7c704c5226f293,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,29992.31,-29992.31,1,-29992.31
1653999401,0x400395d470900289bf412ff6b0d9e69c84a676b1bcb7dc303d0d5670e68e9d7b,0x824cd8c941d7580166ec69782087833888d27f66,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,3620.56,-3620.56,1,-3620.56
1653999743,0xffc6a2ae71d4462899426276f9e838739279c13515c1e9f2e5bf87b27d0c8334,0x371f988e6a5d3f0fd968b86e5adfb4a9c4a3f2a9,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,9321.0,-9321.0,1,-9321.0
1653999743,0xffc6a2ae71d4462899426276f9e838739279c13515c1e9f2e5bf87b27d0c8334,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0x371f988e6a5d3f0fd968b86e5adfb4a9c4a3f2a9,1.78,-1.78,1,-1.78
1654000217,0xf180c3e68a2d2b5a469e83c9d6679288fecad63be7b66210b9a99d06e0c201c9,0x8adbfde13bfa04a1541308d0fff86cfd2af6f80d,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,50000.08,-50000.08,1,-50000.08
1654001165,0x8061db697140986105e715c0e3f77a7bff829d35132c28b5422d96c181d7c5fe,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0xf85761b55272d5ee30139dfe742499ec8c052306,160000.0,-160000.0,1,-160000.0
1654001165,0x8061db697140986105e715c0e3f77a7bff829d35132c28b5422d96c181d7c5fe,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0xf85761b55272d5ee30139dfe742499ec8c052306,72.44,-72.44,1,-72.44
1654001522,0x343901a20e711f1e7e1216e122dc3cbf48d1ed7c96e9f5446162e3c0df7e7988,0xdf32e907390f7fbe3dbd1adca57e04724f19e38a,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,20954.48,-20954.48,1,-20954.48
1654002456,0xf64d822327f2ce2913129e042cffd3978571561d5a0c808c4cce8db51b73116c,0xa5945dc6972cf17c8abf0a6410a799b94b189bb8,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,120000.0,-120000.0,1,-120000.0
1654002771,0x3bf2fa7246638c4e4e7855d88ff8d24506c568cc1c217b8437bcdc2fee2218a1,0x831d9bf78a4b054e0e3dc882ea76cf04e27535a2,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,124787.82,-124787.82,1,-124787.82
1654003960,0x7eeabbaf3bd41741217ab377aa0ce558c40a53f8f559396eeab3700a92b626ab,0xc4685f752dc5142cbf2402da85be3ef5e66eabae,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,189.07,-189.07,1,-189.07
1654005197,0x8c5f5d9941db4349f83ba9794f30b167deb254735b48d94158e6881ad8e1a210,0x0a181a434e1cd3b0f6948c46c0c00a4a5983403d,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,10499.99,-10499.99,1,-10499.99
1654007407,0x0a860917bf5da33f4aea399eeb54f12be2c9686611316359275c4f1b6038af9a,0xc46f8f789dc56acc09a5fd2cd408ee3f1b5699bb,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,44385.82,-44385.82,1,-44385.82
1654008681,0x53c4333029197aa744fca9e707dc54f934b67175871cd7412ed01439bf267886,0xf96f5c81bf403babecbfa8d24575952d3e2d613d,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,137638.0,-137638.0,1,-137638.0
1654008681,0x53c4333029197aa744fca9e707dc54f934b67175871cd7412ed01439bf267886,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0xf96f5c81bf403babecbfa8d24575952d3e2d613d,18.14,-18.14,1,-18.14
1654010222,0xd4975e215dacfbac546a4771370ed80327a1ceedef2a88f901403b19805c7593,0xbc8f5e2f700e0ea04264057044e02259bfdb9f89,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,15958.4,-15958.4,1,-15958.4
1654010483,0xd24bc7238b987f9d7b3bacf6258c41f08aaf5f1edc55b4ebbf2874c3070c50cc,0xa0bf56ad562fa5fbb2a0784b1ac44c72744f1f7d,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,283801.53,-283801.53,1,-283801.53
1654011383,0x42534fd2657f1a6d704466cf96a2815b96fea1ab845c8f7c3430c7307435eef8,0x37efe04c673be382de963d89da77f530bce37808,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,2945.56,-2945.56,1,-2945.56
1654013728,0x4ec9d937392d0cb83d5f84fa22b718beb934e280dd5d86ed1d9fe77d818ac279,0x7059c812d3bc08870d7b791e5e2019198ffda7d5,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,9984.0,-9984.0,1,-9984.0
1654014064,0x16ee8054c3dbf88b483faf4bbb7cf4db3d2775717fcc7f3250ebfe381e51a7c8,0xa2f2f380fdf00fc4bbc75b5930a434409c8786df,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,44597.19,-44597.19,1,-44597.19
1654014538,0x9a483edaf15966b0bb51c127ae81a3b98738cb3883d15980e240d7d1337bc4b2,0xb24f7dd5ae191fc5a820f5f13e144a132267552f,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,600.0,-600.0,1,-600.0
1654016691,0x6779eeabfcbea0d42e7ac394273064620506362b2c5f2e351bd2fae8b2b02432,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0xc5a21f88cb612a83a9658a24d062bb7c6a685626,29.84,-29.84,1,-29.84
1654016691,0x6779eeabfcbea0d42e7ac394273064620506362b2c5f2e351bd2fae8b2b02432,0xc5a21f88cb612a83a9658a24d062bb7c6a685626,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,11333.0,-11333.0,1,-11333.0
1654017819,0x139d0bcbcf5db2e3b1521d34cc6da06b46f062b36eba15a9d0f081f2f08ec7d4,0x1daadee6a446df94347d09fb4041ea8d1a8196b2,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,265.45,-265.45,1,-265.45
1654018026,0x0e0373a4d0ffd2f95d90d19533b4e224588715088b23e867f7506c64f02771e5,0xfc63ce506b8214044fd02b275704d3b84a207344,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,138128.91,-138128.91,1,-138128.91
1654020566,0xb6c835cbce389871401751c183e7308c1136bc8bb35356aee33e5f6f9cd48b01,0x2135bf3ec89b8fd182d087f9a3f00dcc1e4a8228,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,5000.0,-5000.0,1,-5000.0
1654021235,0xdc7339f928c5459aebab4444a3e5b14c1d2d23c8a38a9695292aba4a4b044894,0xb24f7dd5ae191fc5a820f5f13e144a132267552f,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,9400.0,-9400.0,1,-9400.0
1654021235,0xdc7339f928c5459aebab4444a3e5b14c1d2d23c8a38a9695292aba4a4b044894,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0xb24f7dd5ae191fc5a820f5f13e144a132267552f,0.07,-0.07,1,-0.07
1654021343,0x9f4a9f943cd0fc908150a7eec61fdcf4d70377144043374cdebdaeeb65167ec2,0xfadccb52f00426588d219a75d76a6564b7e8001a,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,240000.0,-240000.0,1,-240000.0
1654021343,0x9f4a9f943cd0fc908150a7eec61fdcf4d70377144043374cdebdaeeb65167ec2,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0xfadccb52f00426588d219a75d76a6564b7e8001a,4.24,-4.24,1,-4.24
1654022096,0x09818d61e1239aca6493d1b5bc05b92207ffe276e6ac70eb780af15ca4a593f6,0xe573920287f9504f478d480858257a4e30664486,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,546131.82,-546131.82,1,-546131.82
1654025553,0x58a1864a9ebb5837d867b734c79671234da3103eb8a22e8e099e1ccf9f82a52f,0x3b0114849d72ac001a0009062d091d69797325f5,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,100000.0,-100000.0,1,-100000.0
1654026246,0x4e6053cdb1d9813ea44aeaca719482d9165163650545d5473d6bb787eaa5dd79,0x423a2c4b143a82799c6c8b0738c11999c625cd2c,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,1000.0,-1000.0,1,-1000.0
1654026483,0x3fd1cf239723fa15f88fecc5667dc0878f6269989afbaf44b9a6b0801ea05a4c,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0x423a2c4b143a82799c6c8b0738c11999c625cd2c,0.0,-0.0,1,-0.0
1654026483,0x3fd1cf239723fa15f88fecc5667dc0878f6269989afbaf44b9a6b0801ea05a4c,0x423a2c4b143a82799c6c8b0738c11999c625cd2c,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,300.0,-300.0,1,-300.0
1654027299,0xb8f39037603fa2cdc52eb07323287390b8844b709673192eb1d99216a15ccc6c,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0x423a2c4b143a82799c6c8b0738c11999c625cd2c,0.02,-0.02,1,-0.02
1654027299,0xb8f39037603fa2cdc52eb07323287390b8844b709673192eb1d99216a15ccc6c,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0x423a2c4b143a82799c6c8b0738c11999c625cd2c,1300.0,-1300.0,1,-1300.0
1654028199,0x951393142a40422efc12943009bd87d503fcdda37312602b143a5362d094b0fc,0xe8948f87921e3e91ff0f7a5bc29ec5c4634dfd40,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,41166.0,-41166.0,1,-41166.0
1654029048,0xa45d19a77e40e8645a41819ab1c92506d25a87da3ac813fc5fdf0df0b924b0f9,0x4eed8d4686f040f4cebda24b46575ef750c62a0c,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,333513.33,-333513.33,1,-333513.33
1654030423,0xf5d123e2f242ca42635b6cee15e3237816f53c2d45bcbd609f02a7020d5cd1c7,0xb765d8495f3b8ce4c0019d42abe6135d49731d89,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,1.0,-1.0,1,-1.0
1654032001,0x553dd444b4359e49aff8115ff3a988bd7314c04042c3d9e22737c94fbc64ef50,0x35e6d50bb42ebb158062af2b2365e1b338652fd8,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,300459.65,-300459.65,1,-300459.65
1654034306,0x59a60d4655237bd6dd605cfa34a42c74b2048f665bab2638f92b1859f0c07f17,0x7e75a7fb231a9d118ffbe7ac7b571dd694adfa2f,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,37583.21,-37583.21,1,-37583.21
1654034306,0x59a60d4655237bd6dd605cfa34a42c74b2048f665bab2638f92b1859f0c07f17,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0x7e75a7fb231a9d118ffbe7ac7b571dd694adfa2f,163.24,-163.24,1,-163.24
